"header"	"created"	"author"	"topic"	"path"	"source"
"МОЛОДЦЫ, РАБОТНИКИ КУЛЬТУРЫ!"	"16.01.2015"	"Н.Ф. Дашкова"	"Письмо в газету"	"2015/January/3019.txt"	"http://desnyanka.ru/pismo_v_gaztu/2520-molodczi-rabotniki-kulturi.html"
"ВМЕСТЕ ВЕСЕЛО ШАГАТЬ ПО ПРОСТОРАМ !"	"24.09.2014"	"Н.Д. Агейченкова"	"Это интересно"	"2014/September/3020.txt"	"http://desnyanka.ru/eto_interesno/2178-vmeste-veselo-shagat-po-prostora.html"
"«Я ХОЧУ, ЧТОБЫ НЕ БЫЛО БОЛЬШЕ ВОЙНЫ»"	"24.09.2014"	"     Е.М. Лазутина"	"Письмо в газету"	"2014/September/3021.txt"	"http://desnyanka.ru/pismo_v_gaztu/2177-ya-xochu-chtobi-ne-bilo-bolshe-vojni.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"24.09.2014"	"Noname"	"Народ и власть"	"2014/September/3022.txt"	"http://desnyanka.ru/narod_i_vlast/2176-v-pravitelstve-oblasti.html"
"ИНФОРМКУРЬЕР"	"24.09.2014"	"Noname"	"Район: день за днем"	"2014/September/3023.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2175-informkurer.html"
"Всероссийский конкурс детского рисунка «Страна Безопасности»"	"24.09.2014"	"Noname"	"Информация"	"2014/September/3024.txt"	"http://desnyanka.ru/informaciya/2174-vserossijskij-konkurs-detskogo-risunka-strana-bezopasnosti.html"
"НА ПЛОЩАДИ У ОБЕЛИСКА"	"19.09.2014"	"   Ирина Галкова"	"Район: день за днем"	"2014/September/3025.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2173-na-ploshhadi-u-obeliska.html"
"СОЦИАЛЬНАЯ СТИПЕНДИЯ"	"19.09.2014"	"В.А. Зинакова"	"Службы информируют"	"2014/September/3026.txt"	"http://desnyanka.ru/sluzhbi_informiruut/2172-soczialnaya-stipendiya.html"
"КАК СООБЩИТЬ О ПРОИСШЕСТВИИ"	"19.09.2014"	"Noname"	"Службы информируют"	"2014/September/3027.txt"	"http://desnyanka.ru/sluzhbi_informiruut/2171-kak-soobshhit-o-proisshestvii.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"19.09.2014"	"Noname"	"Народ и власть"	"2014/September/3028.txt"	"http://desnyanka.ru/narod_i_vlast/2170-v-pravitelstve-oblasti.html"
"ПРИШЛО ВРЕМЯ ДЕЙСТВОВАТЬ!"	"12.09.2014"	"Евгений Паромный"	"Народ и власть"	"2014/September/3029.txt"	"http://desnyanka.ru/narod_i_vlast/2151-prishlo-vremya-dejstvovat.html"
"ЖКХ: ВАЖНО ЗНАТЬ ПРИОРИТЕТЫ"	"12.09.2014"	"Александр КАЗАКОВ"	"Район: день за днем"	"2014/September/3030.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2150-zhkx-vazhno-znat-prioriteti.html"
"ПОВЫСИТЬ ЭФФЕКТИВНОСТЬ РАБОТЫ АПК"	"12.09.2014"	"Noname"	"Народ и власть"	"2014/September/3031.txt"	"http://desnyanka.ru/narod_i_vlast/2149-povisit-effektivnost-raboti-apk.html"
"«ЗОЛОТО» НАСТИ ШАМАНОВОЙ"	"12.09.2014"	"Noname"	"Наши земляки"	"2014/September/3032.txt"	"http://desnyanka.ru/nashi_zemlyaki/2148-zoloto-nasti-shamanovoj.html"
"НАША ЛЕТНЯЯ КУЛЬТУРНАЯ ПРОГРАММА"	"12.09.2014"	"Noname"	"Район: день за днем"	"2014/September/3033.txt"	"http://desnyanka.ru/rayon_den_za_dnem/2147-nasha-letnyaya-kulturnaya-programma.html"
"НЕ ОСТАВАЙТЕСЬ РАВНОДУШНЫМИ!"	"12.09.2014"	"Noname"	"Службы информируют"	"2014/September/3034.txt"	"http://desnyanka.ru/sluzhbi_informiruut/2146-ne-ostavajtes-ravnodushnimi.html"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"12.09.2014"	"Noname"	"Народ и власть"	"2014/September/3035.txt"	"http://desnyanka.ru/narod_i_vlast/2145-v-pravitelstve-oblasti.html"
"РЕШЕНИЕ ТЕРРИТОРИАЛЬНОЙ ИЗБИРАТЕЛЬНОЙ КОМИССИИ БРЯНСКОГО  РАЙОНА"	"12.09.2014"	"Noname"	"Информация"	"2014/September/3036.txt"	"http://desnyanka.ru/informaciya/2139-reshenie-territorialnoy-izbiratelnoy-komissii-bryanskogo-rayona-2.html"
"НА ПОРОГЕ ВЗРОСЛОЙ ЖИЗНИ"	"28.05.2015"	"Александр КАЗАКОВ"	"Район: день за днем"	"2015/May/3037.txt"	"http://desnyanka.ru/rayon_den_za_dnem/3256-na-poroge-vzrosloj-zhizni-3256.html"
